No,id,familyNo,family,name,area,areaName,type,typeId,stage,maxStage,catchRarity,powerTierV1,sourceRole,combatRoleV2,BST,baseHP,baseAttack,baseDefense,baseSpeed,evolutionMethod,evolutionParam,nextId,nextName,encounterPool,capturePolicy,wildCatchable,catchRank,moveProfile,gigaEligible,burstEligible,motif,concept,description,Lv1_HP,Lv1_ATK,Lv1_DEF,Lv1_SPD,Lv5_HP,Lv5_ATK,Lv5_DEF,Lv5_SPD,Lv10_HP,Lv10_ATK,Lv10_DEF,Lv10_SPD,Lv20_HP,Lv20_ATK,Lv20_DEF,Lv20_SPD,Lv30_HP,Lv30_ATK,Lv30_DEF,Lv30_SPD,Lv50_HP,Lv50_ATK,Lv50_DEF,Lv50_SPD,Lv100_HP,Lv100_ATK,Lv100_DEF,Lv100_SPD
055,m055,F019,マグポコ,マグポコ,2,ほのおの かざん・すなの たに,ほのお,fire,1,3,common,common,attacker,slowPower,190,57,72,46,15,level,23,m056,ヨウガン,wild,normal-wild,True,1,40/40/40/40,False,False,マグマと火山,ぽこぽこ鳴るあわが、山ひとつを背負うまで,マグマの あわから うまれた。ぽこぽこ おとを たてる。,12,6,5,5,20,12,9,6,31,19,14,8,52,33,23,11,74,48,32,14,117,77,51,20,224,149,97,35
056,m056,F019,マグポコ,ヨウガン,2,ほのおの かざん・すなの たに,ほのお,fire,2,3,common,common,attacker,slowPower,256,77,97,62,20,stone,fire,m057,カザングド,wild,normal-wild,True,2,40/60/60/40-60,False,False,マグマと火山,ぽこぽこ鳴るあわが、山ひとつを背負うまで,せなかが あかく もえている。あつい ばしょほど げんきに なる。,12,6,6,5,22,14,11,7,35,24,17,9,60,43,29,13,86,63,42,17,137,102,67,25,264,199,129,45
057,m057,F019,マグポコ,カザングド,2,ほのおの かざん・すなの たに,ほのお,fire,3,3,rare,rare,attacker,slowPower,340,102,129,82,27,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,False,False,マグマと火山,ぽこぽこ鳴るあわが、山ひとつを背負うまで,せなかの やまから ほのおを ふきあげる。おこると じめんが ゆれる。,13,7,6,5,25,17,13,7,40,30,21,10,70,56,37,15,101,82,54,21,162,134,87,32,314,263,169,59
058,m058,F020,ロウソッコ,ロウソッコ,2,ほのおの かざん・すなの たに,ほのお,fire,1,3,common,common,support,balanced,190,51,51,46,42,held_item_levelup,emberwick,m059,トモシビ,wild,normal-wild,True,1,40/40/40/40,False,False,ろうそくと灯台,自分の火が消えるのが怖い子が、他人の道を照らす,あたまの ひが きえないよう いつも きを つけている。,12,6,5,5,20,10,9,9,30,15,14,13,50,25,23,21,70,35,32,30,111,56,51,47,212,107,97,89
059,m059,F020,ロウソッコ,トモシビ,2,ほのおの かざん・すなの たに,ほのお,fire,2,3,common,common,support,balanced,256,69,69,62,56,level,40,m060,アカリガルド,wild,normal-wild,True,2,40/60/60/40-60,False,False,ろうそくと灯台,自分の火が消えるのが怖い子が、他人の道を照らす,ひを おおきく できるように なった。よるみちで たよりに される。,12,6,6,6,21,11,11,10,33,18,17,16,57,32,29,27,81,46,42,38,129,74,67,61,248,143,129,117
060,m060,F020,ロウソッコ,アカリガルド,2,ほのおの かざん・すなの たに,ほのお,fire,3,3,rare,rare,support,balanced,340,92,92,82,74,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,False,True,ろうそくと灯台,自分の火が消えるのが怖い子が、他人の道を照らす,どうくつ ぜんたいを てらす。まよった ものを かならず いえへ かえす。,12,6,6,6,24,14,13,12,38,23,21,19,66,41,37,34,95,60,54,49,152,97,87,79,294,189,169,153
061,m061,F021,スナチロ,スナチロ,2,ほのおの かざん・すなの たに,じめん,ground,1,3,common,common,speed,speed,190,42,61,30,57,level,23,m062,サバクトカ,wild,normal-wild,True,1,40/40/40/40,False,False,砂とオアシス,砂に隠れてばかりの子が、旅人の水になる,すなの なかを およぐように すすむ。すなあらしの ひに あらわれる。,11,6,5,6,19,11,8,10,28,17,11,16,46,29,17,27,65,41,23,39,102,66,35,62,194,127,65,119
062,m062,F021,スナチロ,サバクトカ,2,ほのおの かざん・すなの たに,じめん,ground,2,3,common,common,attacker,slowPower,256,62,86,46,62,held_item_levelup,sunscale,m063,オアシドン,wild,normal-wild,True,2,40/60/60/40-60,False,False,砂とオアシス,砂に隠れてばかりの子が、旅人の水になる,よるに かつどう する。ほしを みて みちを おぼえる。,12,6,5,6,21,13,9,11,32,22,14,17,54,39,23,29,77,56,32,42,122,91,51,67,234,177,97,129
063,m063,F021,スナチロ,オアシドン,2,ほのおの かざん・すなの たに,じめん,ground,3,3,rare,rare,guard,hpTank,340,94,106,65,75,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,False,False,砂とオアシス,砂に隠れてばかりの子が、旅人の水になる,せなかに オアシスが ある。たびびとに みずを わけてくれる。,12,7,6,6,24,15,11,12,38,26,18,20,67,47,31,35,96,68,44,50,154,111,70,80,298,217,135,155
064,m064,F022,カセキーノ,カセキーノ,2,ほのおの かざん・すなの たに,いわ,rock,1,3,common,common,guard,defenseTank,190,53,42,72,23,stone,ancient,m065,コダイガメ,wild,normal-wild,True,1,40/40/40/40,False,False,化石と古文字,とても古い記憶を、こうらに書きためている,とても むかしから いきている。こうらに もようが ほられている。,12,5,6,5,20,9,12,7,30,13,19,9,51,21,33,14,71,30,48,18,113,47,77,28,216,89,149,51
