No,id,familyNo,family,name,area,areaName,type,typeId,stage,maxStage,catchRarity,powerTierV1,sourceRole,combatRoleV2,BST,baseHP,baseAttack,baseDefense,baseSpeed,evolutionMethod,evolutionParam,nextId,nextName,encounterPool,capturePolicy,wildCatchable,catchRank,moveProfile,gigaEligible,burstEligible,motif,concept,description,Lv1_HP,Lv1_ATK,Lv1_DEF,Lv1_SPD,Lv5_HP,Lv5_ATK,Lv5_DEF,Lv5_SPD,Lv10_HP,Lv10_ATK,Lv10_DEF,Lv10_SPD,Lv20_HP,Lv20_ATK,Lv20_DEF,Lv20_SPD,Lv30_HP,Lv30_ATK,Lv30_DEF,Lv30_SPD,Lv50_HP,Lv50_ATK,Lv50_DEF,Lv50_SPD,Lv100_HP,Lv100_ATK,Lv100_DEF,Lv100_SPD
212,m212,F072,ヒノトリコ,レンカドリ,4,ぎんがの みやこ・そらの はて,ほのお,fire,2,3,epic,epic,attacker,attacker,292,70,111,58,53,level,55,m213,フェニクロス,wild,normal-wild,True,4,40/60/60/40-60,False,False,不死鳥と再生,何度でも生まれ変わる。だから何度でも挑める,はいから よみがえれると きづいた。なんども たちあがる。,12,7,6,6,22,16,10,10,34,27,16,15,58,49,28,26,82,71,39,36,130,116,63,58,250,227,121,111
213,m213,F072,ヒノトリコ,フェニクロス,4,ぎんがの みやこ・そらの はて,ほのお,fire,3,3,legend,legend,attacker,attacker,408,98,155,81,74,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,False,False,不死鳥と再生,何度でも生まれ変わる。だから何度でも挑める,たおれても はいから よみがえる。そらを もやして とぶ。,12,8,6,6,24,20,13,12,39,36,21,19,69,67,37,34,98,98,53,49,158,160,86,79,306,315,167,153
214,m214,F073,ウズマキィ,ウズマキィ,4,ぎんがの みやこ・そらの はて,みず,water,1,3,rare,rare,speed,speed,200,44,64,32,60,level,42,m215,ウズシオン,wild,normal-wild,True,2,40/40/40/40,False,False,渦と大洋,渦を作って遊ぶ子が、海ぜんぶと繋がる,うずを つくって およぐ。じぶんも まきこまれる。,11,6,5,6,19,11,8,11,28,17,11,17,47,30,17,29,66,43,24,41,104,69,37,65,198,133,69,125
215,m215,F073,ウズマキィ,ウズシオン,4,ぎんがの みやこ・そらの はて,みず,water,2,3,epic,epic,attacker,attacker,292,66,99,50,77,level,55,m216,オケアノス,wild,normal-wild,True,4,40/60/60/40-60,False,False,渦と大洋,渦を作って遊ぶ子が、海ぜんぶと繋がる,うずで ふねを まもってくれる。うみの みまわりやく。,12,6,6,6,21,14,10,12,33,24,15,20,56,44,25,35,79,64,35,51,126,104,55,82,242,203,105,159
216,m216,F073,ウズマキィ,オケアノス,4,ぎんがの みやこ・そらの はて,みず,water,3,3,legend,legend,guard,hpTank,408,110,127,75,96,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,False,False,渦と大洋,渦を作って遊ぶ子が、海ぜんぶと繋がる,うみ ぜんぶと つながっている。しずかに うみを ととのえる。,13,7,6,6,26,17,12,14,42,30,20,24,74,55,35,43,106,81,50,62,170,132,80,101,330,259,155,197
217,m217,F074,ライジンコ,ライジンコ,4,ぎんがの みやこ・そらの はて,でんき,electric,1,3,rare,rare,attacker,attacker,200,48,76,40,36,stone,thunder,m218,ゴロナルカ,wild,normal-wild,True,2,40/40/40/40,False,False,雷神と太鼓,太鼓を叩くのが好きな子が、嵐の王になる,かみなりぐもに すむ。たいこを たたくのが すき。,11,6,5,5,19,12,9,8,29,20,13,12,49,35,21,19,68,50,29,26,108,81,45,41,206,157,85,77
218,m218,F074,ライジンコ,ゴロナルカ,4,ぎんがの みやこ・そらの はて,でんき,electric,2,3,epic,epic,attacker,attacker,292,70,111,58,53,level,55,m219,ライゼクス,wild,normal-wild,True,4,40/60/60/40-60,False,False,雷神と太鼓,太鼓を叩くのが好きな子が、嵐の王になる,たいこを たたくと かみなりが なると きづいた。,12,7,6,6,22,16,10,10,34,27,16,15,58,49,28,26,82,71,39,36,130,116,63,58,250,227,121,111
219,m219,F074,ライジンコ,ライゼクス,4,ぎんがの みやこ・そらの はて,でんき,electric,3,3,legend,legend,attacker,fastGlass,408,93,151,74,90,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,False,False,雷神と太鼓,太鼓を叩くのが好きな子が、嵐の王になる,あらしの おうさま。ならすと そらが ひかりつづける。,12,8,6,6,24,20,12,14,38,35,19,23,67,65,34,41,95,95,49,59,153,156,79,95,296,307,153,185
220,m220,F075,ブシドウジ,ブシドウジ,4,ぎんがの みやこ・そらの はて,かくとう,fight,1,3,rare,rare,attacker,slowPower,200,60,76,48,16,level,42,m221,ニトウジ,wild,normal-wild,True,2,40/40/40/40,False,False,二刀と武者,ひとりで修行する子が、強い相手ほど嬉しくなる,まいにち ひとりで しゅぎょうしている。あいさつを たいせつにする。,12,6,5,5,21,12,9,6,32,20,14,8,54,35,24,11,76,50,33,14,120,81,53,21,230,157,101,37
221,m221,F075,ブシドウジ,ニトウジ,4,ぎんがの みやこ・そらの はて,かくとう,fight,2,3,epic,epic,attacker,slowPower,292,88,111,70,23,level,55,m222,ゲキリンサイ,wild,normal-wild,True,4,40/60/60/40-60,False,False,二刀と武者,ひとりで修行する子が、強い相手ほど嬉しくなる,ふたつの つるぎを あやつる。かまえが きれい。,12,7,6,5,23,16,12,7,37,27,19,9,65,49,33,14,92,71,47,18,148,116,75,28,286,227,145,51
